strain	n_concordant	n	freq_concordant	index
QX1	1366	1366	1	1
QX10	1361	1361	1	10
QX101	1372	1372	1	101
QX102	1371	1372	0.999271137026239	102
QX103	1377	1377	1	103
QX104	1378	1378	1	104
QX105	1321	1323	0.99848828420257	105
QX106	1377	1377	1	106
QX107	1372	1372	1	107
QX108	1377	1377	1	108
QX109	864	1378	0.62699564586357	109
QX11	1377	1377	1	11
QX110	1342	1342	1	110
QX111	1372	1373	0.999271667880554	111
QX112	1377	1377	1	112
QX113	1374	1374	1	113
QX114	1376	1376	1	114
QX115	775	1377	0.562817719680465	115
QX116	1360	1363	0.997798972853999	116
QX117	1372	1372	1	117
QX118	1372	1372	1	118
QX12	1375	1375	1	12
QX120	1359	1359	1	120
QX121	1368	1374	0.995633187772926	121
QX122	1364	1364	1	122
QX123	492	983	0.500508646998983	123
QX124	1374	1374	1	124
QX125	1364	1364	1	125
QX127	1375	1375	1	127
QX128	1366	1367	0.999268471104609	128
QX129	1375	1376	0.999273255813954	129
QX13	1375	1375	1	13
QX131	1377	1377	1	131
QX132	1372	1372	1	132
QX133	1375	1375	1	133
QX134	1160	1378	0.841799709724238	134
QX135	1372	1372	1	135
QX136	1373	1373	1	136
QX137	1378	1378	1	137
QX138	1367	1374	0.99490538573508	138
QX139	1150	1300	0.884615384615385	139
QX14	1374	1374	1	14
QX140	1094	1378	0.793904208998549	140
QX143	1365	1371	0.99562363238512	143
QX144	1291	1341	0.962714392244594	144
QX145	793	1354	0.585672082717873	145
QX147	832	1378	0.60377358490566	147
QX148	1378	1378	1	148
QX149	1374	1374	1	149
QX15	1368	1369	0.99926953981008	15
QX151	890	1378	0.645863570391872	151
QX152	805	1378	0.584179970972424	152
QX153	1378	1378	1	153
QX154	1377	1377	1	154
QX155	923	1378	0.669811320754717	155
QX156	796	1378	0.577648766328012	156
QX157	1373	1375	0.998545454545455	157
QX158	1375	1375	1	158
QX159	1375	1375	1	159
QX16	1369	1369	1	16
QX160	690	1377	0.501089324618736	160
QX161	979	1373	0.713037144938092	161
QX162	1376	1376	1	162
QX163	1375	1375	1	163
QX164	1376	1376	1	164
QX165	1378	1378	1	165
QX166	1376	1376	1	166
QX167	555	1378	0.402757619738752	167
QX168	776	1378	0.563134978229318	168
QX169	1375	1375	1	169
QX17	1373	1374	0.999272197962154	17
QX170	1375	1375	1	170
QX171	1377	1377	1	171
QX172	1373	1373	1	172
QX173	1369	1370	0.999270072992701	173
QX174	1376	1376	1	174
QX175	859	1333	0.644411102775694	175
QX176	1376	1376	1	176
QX177	1373	1373	1	177
QX178	1372	1372	1	178
QX179	419	1377	0.304284676833696	179
QX18	1371	1372	0.999271137026239	18
QX180	1368	1368	1	180
QX181	1374	1374	1	181
QX182	1371	1372	0.999271137026239	182
QX183	1374	1374	1	183
QX184	1350	1367	0.987564008778347	184
QX185	1053	1378	0.764150943396226	185
QX186	1375	1375	1	186
QX187	1375	1375	1	187
QX188	1371	1371	1	188
QX189	1376	1376	1	189
QX190	1376	1376	1	190
QX191	765	924	0.827922077922078	191
QX192	1373	1373	1	192
QX193	1374	1374	1	193
QX194	1368	1370	0.998540145985401	194
QX195	1371	1371	1	195
QX196	1376	1377	0.999273783587509	196
QX197	1376	1377	0.999273783587509	197
QX198	1375	1375	1	198
QX2	1373	1375	0.998545454545455	2
QX20	1361	1367	0.995610826627652	20
QX200	1365	1367	0.998536942209217	200
QX201	269	531	0.506591337099812	201
QX202	1377	1377	1	202
QX203	1377	1377	1	203
QX204	1378	1378	1	204
QX205	818	1377	0.594045025417574	205
QX206	1376	1376	1	206
QX207	1373	1374	0.999272197962154	207
QX208	2	208	0.00961538461538462	208
QX209	496	1375	0.360727272727273	209
QX21	1280	1345	0.951672862453532	21
QX211	500	1378	0.362844702467344	211
QX212	1118	1378	0.811320754716981	212
QX213	1369	1369	1	213
QX214	627	1129	0.555358724534987	214
QX215	684	1378	0.496371552975327	215
QX216	1378	1378	1	216
QX217	1374	1374	1	217
QX218	1377	1377	1	218
QX219	1371	1371	1	219
QX22	1378	1378	1	22
QX220	1377	1377	1	220
QX221	1373	1374	0.999272197962154	221
QX222	784	1378	0.568940493468795	222
QX223	1376	1376	1	223
QX224	1374	1375	0.999272727272727	224
QX225	1378	1378	1	225
QX226	700	1377	0.508351488743646	226
QX227	1336	1353	0.987435328898744	227
QX228	599	1378	0.434687953555878	228
QX229	1364	1364	1	229
QX23	1360	1366	0.995607613469985	23
QX230	1374	1374	1	230
QX231	865	1378	0.627721335268505	231
QX232	1373	1375	0.998545454545455	232
QX233	554	1378	0.402031930333817	233
QX234	1371	1372	0.999271137026239	234
QX235	673	1378	0.488388969521045	235
QX236	1372	1372	1	236
QX237	1328	1350	0.983703703703704	237
QX238	1374	1375	0.999272727272727	238
QX239	681	1378	0.494194484760523	239
QX24	1376	1377	0.999273783587509	24
QX240	1248	1373	0.908958485069192	240
QX241	1372	1372	1	241
QX242	565	1378	0.410014513788099	242
QX243	1363	1366	0.997803806734993	243
QX244	1369	1371	0.99854121079504	244
QX245	1364	1366	0.998535871156662	245
QX246	1375	1375	1	246
QX247	1372	1375	0.997818181818182	247
QX248	1371	1371	1	248
QX249	1359	1366	0.994875549048316	249
QX25	1375	1375	1	25
QX250	1370	1371	0.99927060539752	250
QX251	1352	1370	0.986861313868613	251
QX252	1372	1375	0.997818181818182	252
QX253	1362	1369	0.994886778670562	253
QX254	1373	1377	0.997095134350036	254
QX255	1373	1376	0.997819767441861	255
QX256	1362	1364	0.998533724340176	256
QX257	1340	1350	0.992592592592593	257
QX258	1349	1358	0.993372606774669	258
QX259	1370	1372	0.998542274052478	259
QX26	1364	1364	1	26
QX260	1371	1373	0.998543335761107	260
QX261	1375	1375	1	261
QX262	1334	1366	0.976573938506589	262
QX263	1376	1376	1	263
QX265	1371	1371	1	265
QX266	1372	1375	0.997818181818182	266
QX267	1374	1374	1	267
QX268	1376	1377	0.999273783587509	268
QX269	1376	1377	0.999273783587509	269
QX27	1375	1376	0.999273255813954	27
QX270	1372	1374	0.998544395924309	270
QX271	1355	1359	0.997056659308315	271
QX272	1371	1371	1	272
QX273	1376	1377	0.999273783587509	273
QX274	1368	1370	0.998540145985401	274
QX275	1370	1371	0.99927060539752	275
QX277	1356	1360	0.997058823529412	277
QX278	1370	1372	0.998542274052478	278
QX279	1370	1372	0.998542274052478	279
